"Freq [GHz]","dB(S(1,1)) []"
2.626,-1.62667005160022
2.627,-1.61650671170144
2.628,-1.60649005985207
2.629,-1.59661737547939
2.63,-1.58688599957676
2.631,-1.57729333308166
2.632,-1.56783683530217
2.633,-1.55851402239012
2.634,-1.5493224658597
2.635,-1.54025979114962
2.636,-1.53132367622769
2.637,-1.52251185023631
2.638,-1.51382209217762
2.639,-1.50525222963685
2.64,-1.49680013754287
2.641,-1.48846373696451
2.642,-1.48024099394171
2.643,-1.47212991835015
2.644,-1.46412856279856
2.645,-1.4562350215574
2.646,-1.44844742951812
2.647,-1.44076396118189
2.648,-1.43318282967701
2.649,-1.42570228580389
2.65,-1.41832061710704
2.651,-1.41103614697285
2.652,-1.4038472337527
2.653,-1.39675226991042
2.654,-1.38974968119335
2.655,-1.3828379258264
2.656,-1.37601549372823
2.657,-1.36928090574901
2.658,-1.36263271292902
2.659,-1.35606949577745
2.66,-1.34958986357096
2.661,-1.34319245367101
2.662,-1.33687593085988
2.663,-1.33063898669446
2.664,-1.32448033887733
2.665,-1.31839873064487
2.666,-1.31239293017148
2.667,-1.30646172998979
2.668,-1.30060394642619
2.669,-1.29481841905127
2.67,-1.28910401014478
2.671,-1.28345960417458
2.672,-1.27788410728929
2.673,-1.27237644682416
2.674,-1.26693557081977
2.675,-1.26156044755328
2.676,-1.2562500650817
2.677,-1.25100343079702
2.678,-1.24581957099274
2.679,-1.24069753044152
2.68,-1.23563637198353
2.681,-1.23063517612544
2.682,-1.22569304064941
2.683,-1.2208090802321
2.684,-1.21598242607325
2.685,-1.21121222553356
2.686,-1.20649764178173
2.687,-1.20183785345024
2.688,-1.19723205429973
2.689,-1.19267945289181
2.69,-1.18817927226977
2.691,-1.18373074964737
2.692,-1.17933313610522
2.693,-1.17498569629456
2.694,-1.17068770814837
2.695,-1.16643846259947
2.696,-1.16223726330551
2.697,-1.1580834263806
2.698,-1.15397628013344
2.699,-1.1499151648118
2.7,-1.14589943235304
2.701,-1.14192844614074
2.702,-1.13800158076703
2.703,-1.13411822180064
2.704,-1.13027776556043
2.705,-1.12647961889432
2.706,-1.12272319896342
2.707,-1.11900793303119
2.708,-1.11533325825766
2.709,-1.11169862149835
2.71,-1.10810347910795
2.711,-1.10454729674854
2.712,-1.10102954920229
2.713,-1.09754972018847
2.714,-1.09410730218463
2.715,-1.09070179625203
2.716,-1.0873327118649
2.717,-1.08399956674374
2.718,-1.08070188669236
2.719,-1.07743920543862
2.72,-1.07421106447882
2.721,-1.07101701292556
2.722,-1.06785660735907
2.723,-1.06472941168184
2.724,-1.06163499697654
2.725,-1.05857294136711
2.726,-1.05554282988297
2.727,-1.05254425432613
2.728,-1.04957681314144
2.729,-1.04664011128952
2.73,-1.04373376012263
2.731,-1.04085737726315
2.732,-1.03801058648484
2.733,-1.03519301759658
2.734,-1.03240430632875
2.735,-1.02964409422199
2.736,-1.02691202851842
2.737,-1.02420776205521
2.738,-1.02153095316044
2.739,-1.01888126555113
2.74,-1.01625836823362
2.741,-1.01366193540589
2.742,-1.01109164636208
2.743,-1.00854718539902
2.744,-1.00602824172471
2.745,-1.00353450936875
2.746,-1.0010656870947
2.747,-0.998621478314217
2.748,-0.996201591003019
2.749,-0.993805737618625
2.75,-0.991433635019797
2.751,-0.989085004387653
2.752,-0.986759571148399
2.753,-0.984457064897735
2.754,-0.982177219326714
2.755,-0.979919772149212
2.756,-0.977684465030857
2.757,-0.975471043519388
2.758,-0.973279256976488
2.759,-0.971108858510968
2.76,-0.968959604913323
2.761,-0.966831256591602
2.762,-0.96472357750858
2.763,-0.962636335120231
2.764,-0.960569300315353
2.765,-0.958522247356495
2.766,-0.956494953822024
2.767,-0.954487200549317
2.768,-0.952498771579171
2.769,-0.950529454101219
2.77,-0.948579038400493
2.771,-0.946647317804995
2.772,-0.944734088634364
2.773,-0.942839150149474
2.774,-0.940962304503087
2.775,-0.939103356691408
2.776,-0.937262114506662
2.777,-0.935438388490517
2.778,-0.933631991888454
2.779,-0.931842740605019
2.78,-0.93007045315991
2.781,-0.928314950644941
2.782,-0.926576056681825
2.783,-0.924853597380748
2.784,-0.92314740129977
2.785,-0.921457299404953
2.786,-0.919783125031297
2.787,-0.918124713844367
2.788,-0.916481903802705
2.789,-0.914854535120901
2.79,-0.913242450233365
2.791,-0.911645493758822
